destinationId, routeIds
0, 0,1,3,5,9,11,12,13,14,20,21,23,24,26,36,37,41,43,44,47,50,52,57,65,75,78,86,87,88,89,93
1, 0,9,11,12,14,20,26,41,43,50,52,57,78,86,88,89,93
2, 0,3,5,11,12,21
3, 0,11,12
4, 0,4,6,7,8,10,11,12,22,31,35,48,60,62,62,70,77,83,83,87,89
5, 0,1,6,7,8,11,12,22,29,31,35,36,41,48,60,62,70,83
6, 0
7, 0,1,4,7,8,9,10,11,12,22,29,31,35,36,41,47,48,50,52,60,62,70,77,80,86
8, 0,1,2,4,7,8,9,10,11,12,19,22,29,31,35,36,41,47,48,49,50,51,52,60,62,70,77,80,86
9, 0,1
10, 0,1,2,4,9,11,12,19,22,31,35,36,39,45,47,62,70,80,86
11, 0,1,2,4,7,8,9,10,11,12,15,16,17,18,19,22,23,24,26,27,28,29,31,33,34,35,36,37,38,39,40,41,42,43,44,46,47,48,49,50,51,52,53,54,56,58,59,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,82,84,86,91,92
12, 0,1,4,7,8,9,11,12,15,16,23,26,27,29,37,41,43,45,46,47,51,52,56,58,59,61,66,68,69,72,73,74,78,79,82,86,91,92
13, 0,1,4,4,6,7,8,9,11,12,15,16,26,27,29,37,41,43,45,46,47,51,52,56,58,59,66,69,72,73,74,78,79,82,86,91
14, 0,4,9,11,16,30,32,52,57,65,66,74,82,91
15, 0,4,11,26,27,30,32,66,68,82
16, 0,4
17, 0,0,3,3,25,25,28,40,40,61,66,82,83,90
18, 0,2,3,9,11,25,27,40,61,83,88
19, 0,2,3,9,11,25,27,40,61,83,88
20, 0,2,3,9,11,25,27,40,83
21, 0,2,3,9,11,25,27,40,52,66,89
22, 0,3
23, 0,3,9,11,14,25,27,40,52,66,87,89,92
24, 1,9,14,20,26,41,43,44,50,52,57,78,86,87,88,89,93
25, 1,5,21
26, 1,4,43,44,57,83,87
27, 1,3,4,5,6,7,8,9,10,11,12,14,20,21,22,24,25,29,31,33,35,36,37,41,43,44,45,47,48,50,52,55,57,60,62,65,70,71,77,78,80,81,83,86,87,88,89,93
28, 1,5,6,7,8,12,13,15,20,21,29,30,32,37,41,43,45,46,47,51,55,56,58,69,72,73,78,79,86,90
29, 1,5,7,8,13,15,21,29,30,37,41,45,47,51,54,56,58,59,78
30, 1,5,13,18,21,30,37,41,42,45,54,56,58,59,71,78,84
31, 1,5,21,30,45,51,56,58,71
32, 1,5,21,30,45,51,56,58,71
33, 1,5,21,30,45,56,71
34, 1,5,21,30,45,56,71
35, 2,83
36, 2,59,66,88,89
37, 2,9,83,89
38, 2,3,9,11,14,16,18,25,26,27,28,30,32,40,57,59,61,65,66,68,81,82,83,85,87,88,89,90,92,93
39, 2,3,14,18,25,28,40,59,61,81,83,85,87,88,89,90,92,93
40, 2,14,18,25,40,59,81,83,85,87,88,89,90,92,93
41, 2,3,13,14,18,25,28,40,57,59,61,65,81,83,85,88,89,90,92
42, 2,3,5,6,13,14,18,20,21,25,40,55,57,61,63,65,81,83,85,87,88,89,92,93
43, 2,5,6,14,18,20,21,25,40,55,57,63,63,65,81,83,85,88,89,93
44, 2,18,24,40,44,49,63,64,67,75,78
45, 2,18,24,38,40,44,49,63,64,67,71,75,78
46, 2,4,7,8,9,10,11,12,19,22,29,31,35,36,41,45,47,48,49,50,51,52,60,62,70,76,77,80,86
47, 2,49,76
48, 2,51,62,76,80,83
49, 2,19,62,76,80,83
50, 2,19,62,76,80,83,93
51, 3,8,22
52, 3,10,71,77
53, 3,8
54, 3
55, 3,4,6,7,8,10,22,31,35,48,60,62,77,83,87
56, 3,9,14,20,26,41,44,50,52,78,86,87,88,89,93
57, 3,5,6,13,20,21,24,25,26,33,34,37,44,45,47,52,55,67,78,81,83,85,86,87,89,93
58, 3,5,6,13,14,20,21,24,25,26,33,34,44,55,57,65,67,78,81,83,85,87,88,89,93
59, 3,5,6,13,14,20,21,24,25,26,33,34,55,57,65,67,75,78,81,83,85,87,88,89,93
60, 3,5,6,13,14,20,21,24,25,49,55,57,64,65,67,75,78,83,85,87,88,89,93
61, 3,5,6,13,14,20,21,24,25,44,49,55,57,64,65,67,75,78,81,83,85,87,88,89,93
62, 3,13,87
63, 3,25,28,61
64, 4,6,7,8,10,22,77,87
65, 4,7,31,87
66, 4,6,31,87
67, 4,6,31
68, 4,6,7,31
69, 4,6
70, 4,10,35,77
71, 4
72, 4,11,26,27,30,32,66,82
73, 4,11,26,27,30,32,66,82
74, 4,9,32,81,85,93
75, 4,9,16,32,57,65,68,81,85,93
76, 4,9,16,52,57,65,74,91
77, 4,52
78, 5,21,71
79, 5,13,20,21,55,57,59,65,90
80, 5,6,13,20,21,55,59
81, 5,6,20,21,28,55,59,63,87,90,93
82, 6,20,90
83, 6,20
84, 6,12,20,32,47,55,73,86,90
85, 6,12,32,43,47,54,73,86,90
86, 6,20,32,55,72,79
87, 6,12,20,32,43,46,55,69,72,73,86,90
88, 6,12,20,32,43,46,55,69,72,73,79,86,90
89, 6,10,77,80
90, 6,7,8,87
91, 6,31
92, 7,9,10,12,18,19,22,26,29,31,33,35,36,39,41,42,43,45,47,50,51,52,53,54,59,60,62,70,71,76,77,80,84,86
93, 7,8,10,29,41,48,50,51,52,53,60,76,77
94, 7,8,22,31,48,60,87
95, 7,8,22,31,48,60,87
96, 7
97, 7
98, 8
99, 9,14,26,43,50,57,65,71,88
100, 9,43,86
101, 9,16,57,65,74,91
102, 9,11,14,16,18,30,57,65,87,92
103, 9,11,14,16,18,27,30,87,92
104, 9,9,11,11,14,16,18,26,27,27,30,87,87,90,92
105, 9,11,16,27,40,59
106, 9,11,25,27,40,52,66,82,89,92
107, 9,11,14,30
108, 10,77
109, 10,77
110, 10,77
111, 10,77
112, 11,14,16,18,30,87,92
113, 12,43,46,73,86,90
114, 12,86
115, 12,20,32,43,54,73,86
116, 12,86
117, 13,23,24,36,37,47,50,65,75
118, 13,24,36,37
119, 13,24,47,65,71
120, 13,24,25,29,33,36,37,45,47,55,65,67,71,81,85
121, 13,67
122, 13,37,78
123, 16,57,65,68,91
124, 16
125, 17
126, 17,38,75
127, 17
128, 17
129, 17
130, 18
131, 18,42,54,59,71,84
132, 19,49,51
133, 19
134, 22,31,48,60
135, 22,48,60
136, 22
137, 23
138, 24
139, 25,29,33,45,50,55,67,85
140, 25,29,33,45,50,55,67,85
141, 25,29,33,36,37,45,55,65,71,81,85
142, 25,26,27,28,91
143, 26
144, 26,38,43
145, 26
146, 30
147, 30,45
148, 32,54
149, 32,72
150, 33,34,71
151, 33,34,68,71
152, 33,65,71,81
153, 34
154, 34
155, 34
156, 35
157, 36,71
158, 37
159, 37
160, 37,43,45,71
161, 38,43,45,49
162, 38
163, 38,75
164, 38
165, 38
166, 38,50,75,81
167, 38
168, 38
169, 39
170, 39
171, 39,49
172, 42
173, 42
174, 42
175, 43
176, 43,46,72,73,74
177, 43
178, 44
179, 44
180, 44,89
181, 44
182, 46
183, 46
184, 47
185, 47,54,84
186, 47
187, 47,65,71
188, 48
189, 48
190, 48
191, 51
192, 52,74,85
193, 52,59,88,90
194, 53
195, 53
196, 54,84
197, 54
198, 55
199, 56,71
200, 57,65
201, 57,65,90
202, 58
203, 58
204, 58
205, 59
206, 60
207, 61,68
208, 61
209, 61,88
210, 62,83
211, 63
212, 64
213, 64
214, 68
215, 69
216, 69
217, 70
218, 70
219, 72
220, 73
221, 74
222, 74
223, 74
224, 75
225, 76
226, 79
227, 80,93
228, 80
229, 81
230, 82,92
231, 82
232, 82
233, 82
234, 82
235, 83
236, 83
237, 84
238, 84
239, 85,91,91
240, 87
241, 91
242, 93
