ID,isBus,displayNo,title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TRUE,1,Темир жол вокзалы - Орайлық базар - Таслақ елаты - Темир жол вокзалы,Темир жол вокзалы,Политехника колледжи,Туран кафеси,27-мектеп (Гагарин),Саўда орайы,Светлана дүканы,ДСК,Әдиллик министрлиги,108-бурылма,Гүлназ дүканы,ЮМС (МТС),Орайлық базар,3-поликлиника,Балалар поликлиникасы,5-мектеп (Гоголь),Олимпия резервлери колледжи,Арқа автостанция,Узынкөл бөлими,28-мектеп,Автожолшылар қалашасы,40-мектеп,АЖМҚШ (Таслақ елаты),Орақ балға,Хожан аўыл,Узынкөл бөлими,,,,,,,,,
2,TRUE,3,Темир жол вокзалы - Орайлық базар - Жийдели байсын елаты,Темир жол вокзалы,Прогресс мектеби,Шар базар,22-киши район,Светлана дүканы,21-киши район,Әдиллик министрлиги,108-бурылма,Гүлназ дүканы,ЮМС (МТС),Орайлық базар,3-поликлиника,Балалар поликлиникасы,Авто мектеп,Гөне қала,Орайлық туўыў үйи,ХАТП-16,Экспедиция,Жийдели байсын орайы,Жийдели байсын елаты,,,,,,,,,,,,,,
3,TRUE,4,АЖМҚШ (Таслақ елаты) - Телеорай,АЖМҚШ (Таслақ елаты),Улуғбек көшеси,40-мектеп,Автожолшылар қалашасы,28-мектеп,Әжинияз көшеси,Севинч кафеси,Арқа автовокзал,Аэропорт,9-мектеп (Терешкова),1-медицина колледжи,61-квартал (Черемушки),Пединститут (НМПИ),Амфитеатр,Бажыхана,Орайлық базар,ЮМС (МТС),2-академиялық лицей (ҚМУ),108-бурылма,Аквапарк,Қурылыс буйымлары базары,8-колледж,Телеорай,,,,,,,,,,,
4,TRUE,5,Шадлы аўыл - Темир жол вокзалы - Таслақ елаты - Шадлы аўыл,Шадлы аўыл,Хожели гүзары,20-мектеп,АМТШ (Гербиш заводы),АЖМҚШ (Гербиш заводы),Темир жол вокзалы,Туран кафеси,Троя дүканы,21-киши район,Университет (ҚМУ),Қ. Саипов көшеси,А. Темур көшеси,ТАТУ,Мәмлекетлик салық басқармасы,Бердақ кинотеатры,61-квартал (Черемушки),1-медицина колледжи,Теннис корты,Аэропорт,Арқа автовокзал,Узынкөл бөлими,28-мектеп,Автожолшылар қалашасы,40-мектеп,АЖМҚШ (Таслақ елаты),Орақ балға,Хожан аўыл,Узынкөл бөлими,,,,,,
5,TRUE,7,Қызкеткен елаты - Арқа автовокзал - Қызкеткен елаты,Қызкеткен елаты,ГНС,ҚҚ Агротехника буйыртпа,МПЖ (Гербиш заводы),Гербиш заводы,Граф рестораны,13-автобаза,АЖМҚШ (Гербиш заводы),Саўда орайы,22-киши район,21-киши район,Әдиллик министрлиги,108-бурылма,2-академиялық лицей (ҚМУ),Арал дүканы,ЮМС (МТС),Орайлық базар,3-поликлиника,Балалар поликлиникасы,Медициналық лицей,Олимпия резервлери колледжи,2-медицина колледжи,Арқа автостанция,Мусаев көшеси,Жуқпалы кеселликлер емлеўханасы,Көк дүкан,Ҳүрлиман көшеси,5-мектеп (Гоголь),Балалар поликлиникасы,,,,,
6,TRUE,8,Жийдели байсын елаты - Темир жол вокзалы,Жийдели байсын елаты,Жийдели байсын 11-көше,Жийдели байсын орайы,Экспедиция,ХАТП-16,Орайлық туўыў үйи,Гөне қала,Авто мектеп,Әмиўдәрья кинотеатры,2-Республикалық емлеўхана,1-Республикалық емлеўхана,61-квартал (Черемушки),Пединститут (НМПИ),Мәмлекетлик салық басқармасы,ТАТУ,А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),21-киши район,Шар базар,Туран кафеси,Темир жол вокзалы,,,,,,,,,,,,
7,TRUE,10,Саманбай елаты - Қызкеткен елаты,Саманбай елаты,10-поликлиника,Каттагар,У. Юсупов көшеси,Педагогика колледжи,Гидро колледжи,Аграр университети,Авто мектеп,Балалар поликлиникасы,2-Республикалық емлеўхана,1-Республикалық емлеўхана,61-квартал (Черемушки),Пединститут (НМПИ),Мәмлекетлик салық басқармасы,ТАТУ,А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),21-киши район,Светлана дүканы,5-поликлиника,Саўда орайы,АЖМҚШ (Гербиш заводы),Бажыхана терминал,Граф рестораны,Гербиш заводы,МПЖ (Гербиш заводы),ҚҚ Агротехника буйыртпа,Қызкеткен елаты,Алтын көл ПР-4,,,,
8,TRUE,11,Гөне қала - Орайлық базар - Қызкеткен елаты,Гөне қала,Авто мектеп,Балалар поликлиникасы,3-поликлиника,Орайлық базар,Мәденият колледжи,Ташкент мийманханасы,2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Саўда орайы,АЖМҚШ (Гербиш заводы),Мед. снаб.,Бажыхана терминал,ГУТАП,ПМК,Гербиш заводы,Класс комбайн,ГНС,Қызкеткен елаты,,,,,,,,,,,,
9,TRUE,12,Гөне қала - Орайлық базар - Қызкеткен елаты - Шадлы аўыл,Гөне қала,Авто мектеп,Балалар поликлиникасы,3-поликлиника,Орайлық базар,Ташкент мийманханасы,2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Саўда орайы,АЖМҚШ (Гербиш заводы),Мед. снаб.,Бажыхана терминал,ГУТАП,Бахрам кафеси,20-мектеп,Қызкеткен елаты,Шадлы аўыл,,,,,,,,,,,,,,
10,TRUE,15,Темир жол вокзалы - Арқа автовокзал - Таслақ елаты - Темир жол вокзал,Темир жол вокзалы,Политехника колледжи,Прогресс мектеби,Троя дүканы,21-киши район,1-академиялық лицей (ҚМУ),А. Арзиев көшеси,Әдиллик министрлиги,108-бурылма,2-академиялық лицей (ҚМУ),ЮМС (МТС),Мәденият колледжи,Орайлық базар,3-поликлиника,Балалар поликлиникасы,5-мектеп (Гоголь),Башкуртстан көшеси,Көк дүкан,Жуқпалы кеселликлер емлеўханасы,Мусаев көшеси,Арқа автовокзал,АЖМҚШ (Арқа автовокзал),Т. Бердишукурова көшеси,Севинч кафеси,Қызылқум көшеси,28-мектеп,Автожолшылар қалашасы,40-мектеп,Таслақ елаты,АЖМҚШ (Таслақ елаты),Д. Каипов көшеси,Хожан аўыл (труба),Хожан аўыл,Қызылқум көшеси
11,TRUE,16,Бестөбе елаты - Орайлық базар,Бестөбе елаты,Қараметалл,Нөкис темир буйымлар заводы,Қызкеткен елаты,Хожели гүзары,ҚҚ көтере саўда орайы,13-автобаза,АЖМҚШ (Гербиш заводы),Саўда орайы,5-поликлиника,21-киши район,Әдиллик министрлиги,108-бурылма,2-академиялық лицей (ҚМУ),Ташкент мийманханасы,Мәденият колледжи,Орайлық базар,,,,,,,,,,,,,,,,,
12,FALSE,1,Темир жол вокзалы - Таслақ елаты - Хожан аўыл,Темир жол вокзалы,Политехника колледжи,Туран кафеси,27-мектеп (Гагарин),Саўда орайы,Светлана дүканы,21-киши район,Әдиллик министрлиги,108-бурылма,2-академиялық лицей (ҚМУ),ЮМС (МТС),Орайлық базар,3-поликлиника,Балалар поликлиникасы,5-мектеп (Гоголь),Медициналық лицей,Олимпия резервлери колледжи,2-медицина колледжи,Арқа автовокзал,АЖМҚШ (Арқа автовокзал),Т. Бердишукурова көшеси,А. Арзымов көшеси,Қызылқум көшеси,28-мектеп,Автожолшылар қалашасы,40-мектеп,Таслақ елаты,АЖМҚШ (Таслақ елаты),Д. Каипов көшеси,Хожан аўыл (труба),Хожан аўыл,Қызылқум көшеси,,
13,FALSE,2,Темир жол вокзалы - Ақ жағыс (Бухара көшеси),Темир жол вокзалы,Политехника колледжи,Туран кафеси,27-мектеп (Гагарин),Саўда орайы,Светлана дүканы,21-киши район,Әдиллик министрлиги,108-бурылма,2-академиялық лицей (ҚМУ),ЮМС (МТС),Мәденият колледжи,Орайлық базар,3-поликлиника,Балалар поликлиникасы,Авто мектеп,Аграр университети,Гидро колледжи,1-академиялық лицей (Пединститут),Тогай хожалығы,У. Юсупов көшеси,Каттагар,29-мектеп,Ақ жағыс елаты (Бухара көшеси),,,,,,,,,,
14,FALSE,3,Темир жол вокзалы - Ургенч транс газ,Темир жол вокзалы,Наркологиялық диспансер,Мед. санчасть,Мединститут,Экономика факультети (ҚМУ),2-поликлиника,Университет (ҚМУ),Қ. Саипов көшеси,А. Темур көшеси,ТАТУ,Мәмлекетлик салық басқармасы,Бердақ кинотеатры,61-квартал (Черемушки),1-медицина колледжи,2-Республикалық емлеўхана,Әмиўдәрья кинотеатры,Авто мектеп,Гөне қала,Орайлық туўыў үйи,Ургенчтрансгаз,,,,,,,,,,,,,,
15,FALSE,4,Хожан аўыл - Арқа автовокзал - Темир жол вокзалы,Хожан аўыл (труба),Хожан аўыл,Қызылқум көшеси,А. Арзымов көшеси,Т. Бердишукурова көшеси,АЖМҚШ (Арқа автовокзал),Арқа автовокзал,Аэропорт,9-мектеп (Терешкова),1-медицина колледжи,61-квартал (Черемушки),Пединститут (НМПИ),Мәмлекетлик салық басқармасы,ТАТУ,А. Темур көшеси,Қ. Саипов көшеси,1-академиялық лицей (ҚМУ),21-киши район,Троя дүканы,Прогресс мектеби,Политехника колледжи,Темир жол вокзалы,,,,,,,,,,,,
16,FALSE,5,Орайлық базар - Гөне қала,Орайлық базар,3-поликлиника,Балалар поликлиникасы,Авто мектеп,Гөне қала,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FALSE,6,Орайлық базар - Хожан аўыл (киши айланба) - Орайлық базар,Орайлық базар,3-поликлиника,Балалар поликлиникасы,5-мектеп (Гоголь),Башкуртстан көшеси,Көк дүкан,Жуқпалы кеселликлер емлеўханасы,Қ. Айымбетов көшеси,Арқа автовокзал,АЖМҚШ (Арқа автовокзал),Т. Бердишукурова көшеси,А. Арзымов көшеси,Қызылқум көшеси,Таслақ елаты,Хожан аўыл (киши айланба),,,,,,,,,,,,,,,,,,,
18,FALSE,7,Қум аўыл елаты - Орайлық базар,Қум аўыл,4-мектеп (Киров),Азық-аўқат дүканы (Т. Жумамуратов көшеси),Капитал банк,Шахноза дүканы,Орайлық базар,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FALSE,8,Алланияз қаҳарман (А. Арзымов көшеси) - Арқа автовокзал - Орайлық туўыў үйи,Алланияз қаҳарман елаты,Қызылқум көшеси,А. Арзымов көшеси,Т. Бердишукурова көшеси,АЖМҚШ (Арқа автовокзал),Арқа автовокзал,Аэропорт,9-мектеп (Терешкова),1-медицина колледжи,61-квартал (Черемушки),Пединститут (НМПИ),Амфитеатр,Бажыхана,Орайлық базар,Мәденият колледжи,Спорт колледжи,Орайлық туўыў үйи,,,,,,,,,,,,,,,,,
20,FALSE,9,Орайлық базар - Телеорай,Орайлық базар,Мәденият колледжи,ЮМС (МТС),2-академиялық лицей (ҚМУ),108-бурылма,Қурылыс колледжи,ККРЕСтрой автобаза,8-колледж,Телеорай,,,,,,,,,,,,,,,,,,,,,,,,,
21,FALSE,10,Саманбай елаты - Темир жол вокзалы,Саманбай елаты,10-поликлиника,29-мектеп,Каттагар,Педагогика колледжи,Гидро колледжи,Аграр университети,Авто мектеп,Әмиўдәрья кинотеатры,2-Республикалық емлеўхана,1-Республикалық емлеўхана,61-квартал (Черемушки),Пединститут (НМПИ),Мәмлекетлик салық басқармасы,ТАТУ,А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),21-киши район,Троя дүканы,Прогресс мектеби,Политехника колледжи,Темир жол вокзалы,,,,,,,,,,,
22,FALSE,11,Жийдели байсын елаты - Темир жол вокзалы,Жийдели байсын елаты,Жийдели байсын 11-көше,Жийдели байсын орайы,Экспедиция,ХАТП-16,Орайлық туўыў үйи,Гөне қала,Авто мектеп,Әмиўдәрья кинотеатры,2-Республикалық емлеўхана,1-Республикалық емлеўхана,61-квартал (Черемушки),Пединститут (НМПИ),Мәмлекетлик салық басқармасы,ТАТУ,А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),21-киши район,Шар базар,Туран кафеси,Темир жол вокзалы,,,,,,,,,,,,
23,FALSE,12,Орайлық базар - Қызкеткен елаты (Шадлы аўыл),Орайлық базар,Мәденият колледжи,ЮМС (МТС),2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Саўда орайы,АЖМҚШ (Гербиш заводы),Мед. снаб.,ККГлавснаб,ГУТАП,Арбашы аўыл,Қызкеткен елаты,ЖХКБ,Шадлы аўыл,,,,,,,,,,,,,,,,,
24,FALSE,13,Орайлық базар - Темир жол вокзалы,Орайлық базар,3-поликлиника,Туберкулезға қарсы гүресиў емлеўханасы,Наркологиялық диспансер,Темир жол вокзалы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,FALSE,14,Орайлық базар - Темир жол вокзалы,Орайлық базар,Бажыхана,Амфитеатр,Мәмлекетлик салық басқармасы,ТАТУ,А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),21-киши район,Туркистан кинотеатры,Экономика факультети (ҚМУ),Мединститут,Мед. санчасть,Наркологиялық диспансер,Темир жол вокзалы,,,,,,,,,,,,,,,,,,,
26,FALSE,15,Әскерий гарнизон - Таслақ елаты,Әскерий гарнизон,60-дүкан,Экономика факультети (ҚМУ),Түркстан кинотеатры,21-киши район,Университет (ҚМУ),Қ. Саипов көшеси,А. Темур көшеси,ТАТУ,Мәмлекетлик салық басқармасы,Пединститут (НМПИ),61-квартал (Черемушки),1-медицина колледжи,Теннис корты,9-мектеп (Терешкова),Аэропорт,Арқа автовокзал,Алланияз қаҳарман МПЖ,Узынкөл бөлими,28-мектеп,Автожолшылар қалашасы,40-мектеп,АЖМҚШ (Таслақ елаты),Д. Каипов көшеси,Хожан аўыл,Узынкөл бөлими,,,,,,,,
27,FALSE,16,Алланияз қаҳарман МПЖ - Арқа автовокзал - Темир жол вокзалы,Алланияз қаҳарман МПЖ,Қызылқум көшеси,Ж. Сапашов көшеси,Арқа автовокзал,2-медицина колледжи,Олимпия резервлери колледжи,Медициналық лицей,Балалар поликлиникасы,3-поликлиника,Орайлық базар,Мәденият колледжи,1-поликлиника,32-мектеп (70-жыллық),А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),1-академиялық лицей (ҚМУ),Троя дүканы,Прогресс мектеби,Политехника колледжи,Темир жол вокзалы,,,,,,,,,,,,,
28,FALSE,17,Орайлық базар - Таслақ елаты - Хожан аўыл - Орайлық базар,Орайлық базар,3-поликлиника,Балалар поликлиникасы,Медициналық лицей,Олимпия резервлери колледжи,2-медицина колледжи,Арқа автовокзал,Т. Бердишукурова көшеси,Алланияз қаҳарман МПЖ,Қызылқум көшеси,28-мектеп,Автожолшылар қалашасы,40-мектеп,Таслақ елаты,АЖМҚШ (Таслақ елаты),Д. Каипов көшеси,Хожан аўыл,Қызылқум көшеси,,,,,,,,,,,,,,,,
29,FALSE,18,Орайлық базар - Алланияз қаҳарман МПЖ,Орайлық базар,1-Республикалық емлеўхана,1-медицина колледжи,Теннис корты,Аэропорт,Арқа автовокзал,Узынкөл бөлими,Алланияз қаҳарман МПЖ,,,,,,,,,,,,,,,,,,,,,,,,,,
30,FALSE,19,Гөне қала - Әскерий гарнизон,Гөне қала,Авто мектеп,Балалар поликлиникасы,3-поликлиника,Орайлық базар,Мәденият колледжи,Ташкент мийманханасы,2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Түркстан кинотеатры,Экономика факультети (ҚМУ),60-дүкан,Әскерий гарнизон,,,,,,,,,,,,,,,,,,
31,FALSE,20,Хожан аўыл - Арқа автовокзал - Жийдели байсын елаты,Хожан аўыл (труба),Қызылқум көшеси,А. Арзымов көшеси,Т. Бердишукурова көшеси,АЖМҚШ (Арқа автовокзал),Арқа автовокзал,2-медицина колледжи,Олимпия резервлери колледжи,Медициналық лицей,5-мектеп (Гоголь),Авто мектеп,Гөне қала,Орайлық туўыў үйи,ХАТП-16,Экспедиция,Жийдели байсын 1-көше,Жийдели байсын орайы,Жийдели байсын 18-көше,Жийдели байсын елаты,,,,,,,,,,,,,,,
32,FALSE,21,Орайлық базар - Қызкеткен елаты,Орайлық базар,Мәденият колледжи,ЮМС (МТС),2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Саўда орайы,АЖМҚШ (Гербиш заводы),Мед. снаб.,ККГлавснаб,ГУТАП,Гербиш заводы,МПЖ (Гербиш заводы),ҚҚ Агротехника буйыртпа,ГНС,Алтын көл ПР-4,,,,,,,,,,,,,,,,
33,FALSE,22,Саманбай елаты (Проектная көшеси) - Aрқа автовокзал - Жуқпалы кеселликлер емлеўханасы,Саманбай елаты (Проектная көшеси),29-мектеп,Каттагар,У. Юсупов көшеси,АЖМҚШ (Ақманғыт гүзары),Педагогика колледжи,Гидро колледжи,Аграр университети,Авто мектеп,5-мектеп (Гоголь),Медициналық лицей,Олимпия резервлери колледжи,2-медицина колледжи,Арқа автовокзал,Мусаев көшеси,Жуқпалы кеселликлер емлеўханасы,,,,,,,,,,,,,,,,,,
34,FALSE,23,Орайлық базар - Әскерий гарнизон,Орайлық базар,Мәденият колледжи,Орайлық почта,Дослық гүзары,А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),21-киши район,Түркстан кинотеатры,Өрт басқармасы,Экономика факультети (ҚМУ),60-дүкан,Әскерий гарнизон,,,,,,,,,,,,,,,,,,,,,
35,FALSE,24,Орайлық базар - Әскерий прокуратура (Ж. Нарымбетов),Орайлық базар,НЕО рестораны,Орайлық почта,Дослық гүзары,А. Темур көшеси,Қ. Саипов көшеси,Университет (ҚМУ),Эндокринология диспансери,Әскерий прокуратура (Ж. Нарымбетов),,,,,,,,,,,,,,,,,,,,,,,,,
36,FALSE,25,Орайлық базар - Наўқанбағ (А. Қайратдинов көшеси),Орайлық базар,Мәденият колледжи,ЮМС (МТС),2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Саўда орайы,АЖМҚШ (Гербиш заводы),13-автобаза,Наўқанбағ (А. Қайратдинов көшеси),,,,,,,,,,,,,,,,,,,,,,
37,FALSE,26,Орайлық базар - Темир жол вокзалы,Орайлық базар,Мәденият колледжи,ЮМС (МТС),2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Түркстан кинотеатры,Экономика факультети (ҚМУ),23-киши район,Мед. санчасть,Наркологиялық диспансер,Темир жол вокзалы,,,,,,,,,,,,,,,,,,,,
38,FALSE,27,Ургенч транс газ - Темир жол вокзалы,Ургенчтрансгаз,Орайлық туўыў үйи,Гөне қала,Авто мектеп,Балалар поликлиникасы,3-поликлиника,Орайлық базар,13-дәрихана,1-монша,Манғыт шайханасы,Университет (ҚМУ),21-киши район,Түркстан кинотеатры,Экономика факультети (ҚМУ),Мед. санчасть,Наркологиялық диспансер,Темир жол вокзалы,,,,,,,,,,,,,,,,,
39,FALSE,28,Орайлық базар - Қоскөл-2 елаты,Орайлық базар,Бажыхана,1-поликлиника,Архторус,Ucell офиси,4-мектеп (Киров),Т. Жумамуратов көшеси,Дослық базары,Беруний көшеси,Арақ шарап саўда орайы,Қоскөл-2 3-көше,Қоскөл-2,,,,,,,,,,,,,,,,,,,,,,
40,FALSE,29,Орайлық базар - Жеке терек,Орайлық базар,Мәденият колледжи,ЮМС (МТС),Нөкис транспорт колледжи,Муқимий көшеси,Жеке терек,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,FALSE,30,Орайлық базар - Таслақ елаты - Орайлық базар,Орайлық базар,Бажыхана,Амфитеатр,Пединститут (НМПИ),61-квартал (Черемушки),1-медицина колледжи,9-мектеп (Терешкова),Аэропорт,Арқа автовокзал,Узынкөл бөлими,28-мектеп,Автожолшылар қалашасы,40-мектеп,Таслақ елаты,АЖМҚШ (Таслақ елаты),Д. Каипов көшеси,Хожан аўыл,Узынкөл бөлими,,,,,,,,,,,,,,,,
42,FALSE,31,Орайлық туўыў үйи - Темир жол вокзалы,Орайлық туўыў үйи,Гөне қала,Авто мектеп,Балалар поликлиникасы,3-поликлиника,Орайлық базар,Мәденият колледжи,Ташкент мийманханасы,2-академиялық лицей (ҚМУ),108-бурылма,Әдиллик министрлиги,21-киши район,Светлана дүканы,Троя дүканы,Прогресс мектеби,Политехника колледжи,Темир жол вокзалы,,,,,,,,,,,,,,,,,
43,FALSE,32,Орайлық базар - Ферма аўыл,Орайлық базар,Мәденият колледжи,Спорт колледжи,Орайлық туўыў үйи,Қан қуйыў орайы,Д. Якубов көшеси,Ферма аўыл,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,FALSE,33,Темир жол вокзалы - Саманбай елаты (котельный),Темир жол вокзалы,Политехника колледжи,Прогресс мектеби,22-киши район,21-киши район,1-академиялық лицей (ҚМУ),А. Арзиев көшеси,Манғыт шайханасы,Архторус,1-поликлиника,Орайлық банк,Мәденият колледжи,Орайлық базар,3-поликлиника,Балалар поликлиникасы,Авто мектеп,Аграр университети,Гидро колледжи,1-академиялық лицей (Пединститут),Ақманғыт гүзары,У. Юсупов көшеси,29-мектеп,Саманбай (котельный),,,,,,,,,,,
45,FALSE,34,Орайлық базар - Орайлық автовокзал - Нөкис саўда комплекс,Орайлық базар,Бажыхана,Амфитеатр,Мәмлекетлик салық басқармасы,Балалар емлеўханасы,АРС кафеси,Қ. Саипов көшеси,Университет (ҚМУ),21-киши район,Троя дүканы,Прогресс мектеби,Темир жол вокзалы,22-киши район,Орайлық автовокзал,Нөкис саўда комплекс,,,,,,,,,,,,,,,,,,,
